Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
3RW04286,Guaiyl Acetate from PerfumersWorld,134-28-1,0.950,,FALSE,,,,Available,+0.150
7WS13096,Guava Leaf Essential Oil from PerfumersWorld,91770-12-6,1.450,,FALSE,,,,Available,+0.150
3IA06874,Irotyl from PerfumersWorld,2983-37-1,0.600,,FALSE,,,,Available,+0.340
4CA03618,Isocyclocitral from PerfumersWorld,1335-66-6,0.770,,FALSE,,,,Available,+0.150
3JF07351,Jasmin Lactone from PerfumersWorld,34686-71-0,5.800,,FALSE,,,,Available,+0.900
7KH00262,Juniper Berry Essential Oil from PerfumersWorld,106-22-9,2.800,,FALSE,,,,Available,+0.820
5KH07869,Juniper Berry Essential Oil 10% in DPG from PerfumersWorld,"8002-68-4|0.1
25265-71-8|0.9",0.350,,TRUE,Juniper Berry Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.130
8UQ08219,Labdanum Absolute from PerfumersWorld,100-52-7,1.200,,FALSE,,,,Available,+0.100
6HL18238,LAVENDER F-TEC from PerfumersWorld,Mixture (Perfume Base),0.300,,FALSE,,,,Available,+0.020
7CA00285,Mandarin Essential Oil from PerfumersWorld,41270-80-8,0.500,,FALSE,,,,Available,+0.200
8HE00557,Mate Absolute from PerfumersWorld,1604-28-0,8.500,,FALSE,,,,Available,+1.100
3LB00292,Menthyl Acetate from PerfumersWorld,16409-45-3,0.390,,FALSE,,,,Available,+0.070
4LF00294,Methyl Amyl Ketone from PerfumersWorld,110-43-0,0.300,,FALSE,,,,Available,+0.070
7QC00314,Myrrh Essential Oil from PerfumersWorld,8016-37-3,3.100,,FALSE,,,,Available,+0.080
6GW18223,NATURELLE HOMME F-TEC from PerfumersWorld,Mixture (Perfume Base),0.270,,FALSE,,,,Available,+0.050
7CN00318,Neroli Essential Oil from PerfumersWorld,100-52-7,20.800,,FALSE,,,,Available,+0.080
5CN07545,Neroli Essential Oil 10% in DPG from PerfumersWorld,"8016-38-4|0.1
25265-71-8|0.9",2.300,,TRUE,Neroli Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.380
1CN00320,Nerolin Bromelia from PerfumersWorld,93-18-5,0.150,,FALSE,,,,Available,+0.020
5YH07549,Oakmoss Absolute (IFRA Low Atranol) 10% in DPG from PerfumersWorld,"90028-68-5|0.1
25265-71-8|0.9",0.380,,TRUE,Oakmoss Absolute (IFRA Low Atranol) from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.030
8YH00328,Oakmoss Absolute (IFRA Low Atranol) from PerfumersWorld,9000-50-4,3.300,,FALSE,,,,Available,+0.240
7QC00336,Opoponax Essential Oil from PerfumersWorld,93384-32-8,4.400,,FALSE,,,,Available,+1.080
8NC00338,Orange Flower Absolute from PerfumersWorld,100-52-7,29.900,,FALSE,,,,Available,+0.380
7WB00357,Patchouli Essential Oil from PerfumersWorld,84238-39-1,0.960,,FALSE,,,,Available,+0.110
4GN00382,Phenyl Acetaldehyde Dimethyl Acetal (PADMA) from PerfumersWorld,101-48-4,0.250,,FALSE,,,,Available,+0.020
3XU22379,Romandolide from PerfumersWorld,236391-76-7,0.300,,FALSE,,,,Available,+0.050
5RM07856,Rose de Mai Absolute 10% in DPG from PerfumersWorld,100-51-6,1.350,,FALSE,,,10.00%,Available,+0.130
7HB00400,Rosemary Essential Oil from PerfumersWorld,72203-97-5,0.350,,FALSE,,,,Available,+0.030
7HP00403,Sage Dalmation Essential Oil from PerfumersWorld,546-80-5,0.800,,FALSE,,,,Available,+0.040
6TW18445,TOBACCO F-TEC from PerfumersWorld,Mixture (Perfume Base),0.370,,FALSE,,,,Available,+0.150
6TW08328,Tobacco Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.280,,FALSE,,,,Available,+0.040
8VQ00445,Tonka Bean Absolute from PerfumersWorld,119-84-6,9.020,,FALSE,,,,Not Listed,REMOVED
8YT00576,Treemoss Absolute from PerfumersWorld,90028-67-4,5.450,,FALSE,,,,Available,+1.530
5YT08337,Treemoss Absolute 10% in DEP from PerfumersWorld,"90028-67-4|0.1
84-66-2|0.9",0.580,,TRUE,Treemoss Absolute from PerfumersWorld,Diethyl Phthalate (DEP) from PerfumersWorld,10.00%,Available,+0.240
5YT08604,Treemoss Absolute 10% in DPG from PerfumersWorld,"90028-67-4|0.1
25265-71-8|0.9",0.580,,TRUE,Treemoss Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.240
4XU11429,Velvione from PerfumersWorld,37609-25-9,1.570,,FALSE,,,,Not Listed,REMOVED
7WY00466,Vetiver Essential Oil from PerfumersWorld,475-20-7,1.550,,FALSE,,,,Available,+0.030
7OP00947,Wintergreen Essential Oil from PerfumersWorld,68917-75-9,0.600,,FALSE,,,,Available,+0.330
7NJ00472,Ylang Ylang Essential Oil from PerfumersWorld,106-24-1,0.900,,FALSE,,,,Available,+0.060
,Deionized Water from PerfumersWorld,7732-18-5,0.000,,FALSE,,,,Not Listed,REMOVED
,Ethanol 99.9% from PerfumersWorld,64-17-5,0.010,,FALSE,,,,Not Listed,REMOVED
,DPG,25265-71-8,0.070,,FALSE,,,,Not Listed,REMOVED
,IPM,110-27-0,0.060,,FALSE,,,,Not Listed,REMOVED
,TEC,77-93-0,0.050,,FALSE,,,,Not Listed,REMOVED
,BB,120-51-4,0.200,,FALSE,,,,Not Listed,REMOVED
8F3094001657,2-Acetyl Pyrazine (Powder) from SimpleScentsDIY,22047-25-2,0.927,,,,,,Not Listed,REMOVED
8F3094001642,2-Acetyl Pyrazine 1% in DPG from SimpleScentsDIY,,0.371,,TRUE,2-Acetyl Pyrazine (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,1.00%,Not Listed,REMOVED
8F3094001770,Aldehyde C-10 from SimpleScentsDIY,112-31-2,0.185,,,,,,Not Listed,REMOVED
8F3094001771,Aldehyde C-11 from SimpleScentsDIY,112-45-8,0.185,,,,,,Not Listed,REMOVED
8F3094001656,Aldehyde C-12 from SimpleScentsDIY,112-54-9,0.247,,,,,,Not Listed,REMOVED
8F3094005317,Aldehyde C-12 MNA from SimpleScentsDIY,110-41-8,0.155,,,,,,Not Listed,REMOVED
8F3094001800,Aldehyde C-14 Pure from SimpleScentsDIY,104-67-6,0.124,,,,,,Not Listed,REMOVED
8F3094001431,Aldehyde C-16 from SimpleScentsDIY,77-83-8,0.155,,,,,,Not Listed,REMOVED
8F3094001801,Aldehyde C-18 Pure from SimpleScentsDIY,104-67-6,0.124,,,,,,Not Listed,REMOVED
8F3094001768,Aldehyde C-8 from SimpleScentsDIY,124-13-0,0.165,,,,,,Not Listed,REMOVED
8F3094001769,Aldehyde C-9 from SimpleScentsDIY,124-19-6,0.185,,,,,,Not Listed,REMOVED
