Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
BOTAM12M,Amber Glass Bottles 12ml from PerfumersWorld,PerfumersWorld,Not Found,,0.90,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=BOTAM12M
BOTAMB30,Amber Glass Bottles 30ml from PerfumersWorld,PerfumersWorld,Not Found,,2.40,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=BOTAMB30
BOTAMB05,Amber Glass Bottles 5ml from PerfumersWorld,PerfumersWorld,Not Found,,0.90,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=BOTAMB05
BOTAMB60,Amber Glass Bottles 60ml from PerfumersWorld,PerfumersWorld,Not Found,,2.40,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=BOTAMB60
6VU09627,Amber Solid from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.28,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6VU09627
6UY18081,AMBERGRIS F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UY18081
6UY09424,Ambergris Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.22,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UY09424
4WW16862,Amberketal IPM from PerfumersWorld,PerfumersWorld,57345-19-4,,1.82,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4WW16862
4WU16860,Ambermax 50% Dowanol TPM from PerfumersWorld,PerfumersWorld,929625-08-1,,0.99,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4WU16860
6UQ20900,AMBERNOIR F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UQ20900
6UQ20857,AmberNoir Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UQ20857
6UQ09624,Amberome Base PW from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,1.80,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UQ09624
6UV16208,Ambreine Classic PW from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.80,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6UV16208
6VC09625,Ambreine Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6VC09625
8XU00529,Ambrette Seed Absolute from PerfumersWorld,PerfumersWorld,84455-19-6,,20.02,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=8XU00529
5XU12235,Ambrette Seed Absolute 10% in DPG from PerfumersWorld,PerfumersWorld,"84455-19-6|0.1
25265-71-8|0.9",,2.52,,TRUE,Ambrette Seed Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5XU12235
6XU18931,AMBRETTE SEED F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.40,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6XU18931
4XU00034,Ambrettolide from PerfumersWorld,PerfumersWorld,28645-51-4,,2.50,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4XU00034
5XU07617,Ambrettolide 10% in DPG from PerfumersWorld,PerfumersWorld,"28645-51-4|0.1
25265-71-8|0.9",,0.27,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5XU07617
5XU10231,Ambrettolide 50% in DPG from PerfumersWorld,PerfumersWorld,"123-69-3|0.5
25265-71-8|0.5",,1.40,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.5,https://www.perfumersworld.com/view.php?pro_id=5XU10231
1WU21632,Ambrocenide from PerfumersWorld,PerfumersWorld,211299-54-6,,4.93,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1WU21632
5WU22697,Ambrocenide 10% in DPG from PerfumersWorld,PerfumersWorld,"211299-54-6|0.1
25265-71-8|0.9",,0.56,,TRUE,Ambrocenide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5WU22697
5WU22696,Ambrocenide 10% in TEC from PerfumersWorld,PerfumersWorld,"211299-54-6|0.1
77-93-0|0.9",,0.58,,TRUE,Ambrocenide from PerfumersWorld,Triethyl Citrate (TEC) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5WU22696
