Product_ID,Material_Name,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
6SH18444,BLACK PEPPER F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.30,,FALSE,,,
6SH09677,Black Pepper Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.50,,FALSE,,,
6HE09224,Black Tea Base from PerfumersWorld,Mixture (Perfume Base),,0.29,,FALSE,,,
8FB00063,Blackcurrant Absolute from PerfumersWorld,97676-19-2,,8.10,,FALSE,,,
5FB20096,Blackcurrant Absolute 10% in DPG from PerfumersWorld,"97676-19-2|0.1
25265-71-8|0.9",,0.64,,TRUE,Blackcurrant Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
6FB18179,BLACKCURRANT F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.32,,FALSE,,,
6FB09427,Blackcurrant Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.30,,FALSE,,,
7CA24032,Blood Orange oil Sicilian from PerfumersWorld,8028-48-6,,0.18,,FALSE,,,
7HF00102,Blue Chamomile Essential Oil from PerfumersWorld,8002-66-2,,2.12,,FALSE,,,
5HF07844,Blue Chamomile Essential Oil 10% in DPG from PerfumersWorld,"8002-66-2|0.1
25265-71-8|0.9",,0.24,,TRUE,Blue Chamomile Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
BODYLOTN,Body Lotion Base - unscented from PerfumersWorld,Not Found,,0.04,,FALSE,,,
6LW18324,BOIS DE ROSE F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.16,,FALSE,,,
6LW12346,Bois de Rose Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.27,,FALSE,,,
BON06020,Bonding Concentrate from PerfumersWorld,Not Found,,5.02,,FALSE,,,
BON06021,Bonding Factor from PerfumersWorld,Not Found,,0.52,,FALSE,,,
1BW00064,Borneol from PerfumersWorld,507-70-0,,0.14,,FALSE,,,
