Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
2814,Indoflor (Indolarome),1 g,18096-62-3,,548.51,548.5100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/animal-สัตว์/2814-indoflor-indolarome.html
2791,Anethole,1 g,4180-23-8,,59.63,59.6300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2791-anethole.html
2747,Benzophenone,1 g,119-61-9,,39.48,39.4800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2747-benzophenone.html
2692,Florocyclene,1 g,17511-60-3,,46.46,46.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2692-tricyclodecenyl-propionate.html
2671,Benzyl Formate,1 g,,,47.06,47.0600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2671-benzyl-formate-fema-2145.html
2608,cis‑3‑Hexenyl Hexanoate (FEMA‑3403),1 g,31501-11-8,,112.59,112.5900,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2608-cis-3-hexenyl-hexanoate-fema-3403.html
2558,Allyl Cyclohexyl Propionate,1 g,2705-87-5,,50.65,50.6500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/fruit-ผลไม้/2558-allyl-cyclohexyl-propionate-fema-2026.html
2526,Butyl Butyryl Lactate,1 g,7492-70-8,,42.57,42.5700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/edible-อาหาร/2526-butyl-butyryl-lactate-butyl-butyro-lactate-fema-2190.html
2511,Delta‑Octalactone,1 g,698-76-0,,263.42,263.4200,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2511-delta-octalactone-fema-3214.html
2489,Dodecane Nitrile,1 g,2437-25-4,,69.40,69.4000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2489-dodecane-nitrile.html
2433,"2,4",1 g,2363-88-4,,963.66,963.6600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/aldehyde-ไขมัน/2433-24-decadienal-fema-3135.html
33761,trans‑2‑Dodecenal,1 g,20407-84-5,,179.63,179.6300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/33761-e-dodec-2-enal-fema-2402.html
32501,3‑Methylthio Propyl Isothiocyanate,1 g,505-79-3,,3321.25,3321.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/32501-3-methylthio-propyl-isothiocyanate-fema-3312.html
32353,2,1 g,51115-64-1,,9955.13,9955.1300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/32353--2-methylbutyl-butyrate-fema-2934.html
3764,Dihydroterpinyl Acetate,1 g,58985-18-5,,142.31,142.3100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/3764-dihydroterpinyl-acetate.html
2886,Musk Ambrette,1 g,83-66-9,,55.54,55.5400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2886-musk-ambrette.html
2850,Cedryl Acetate 50%,1 g,77-54-3,,52.44,52.4400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2850-cedryl-acetate.html
2828,Vanillin,1 g,121-33-5,,44.66,44.6600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2828-vanillin-fema-3107.html
2792,4‑Ethyl Guaiacol,1 g,2785-89-9,,189.10,189.1000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2792-4-ethyl-guaiacol-fema-2436.html
2764,"Rose Carboxylate, Givescone",1 g,57934-97-1,,269.40,269.4000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2764-rose-carboxylate.html
2748,2,1 g,1192-62-7,,228.01,228.0100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2748-2-acetyl-furan.html
2714,Muguet Aldehyde 50%,1 g,7492-67-3,,467.17,467.1700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/lily-of-the-valley/2714-citronellyl-oxyacetaldehyde-muguet-aldehyde.html
2693,DMBCA (FEMA,1 g,151-05-3,,47.76,47.7600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2693-dimethyl-benzyl-carbinyl-acetate-fema-2392.html
2672,Benzyl Isobutyrate,1 g,,,179.43,179.4300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2672-benzyl-isobutyrate-fema-2141.html
2609,Hexyl Butyrate (FEMA‑2568),1 g,2639-63-6,,49.75,49.7500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2609-hexyl-butyrate-fema-2568.html
2559,Alpha‑Damascone,1 g,24720-09-0,,239.48,239.4800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/fruit-ผลไม้/2559-alpha-damascone-fema-3659.html
2512,Acetyl Propionyl,1 g,600-14-6,,87.36,87.3600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2512-acetyl-propionyl-fema-2841.html
2490,Alpha‑methylene Citronellal,1 g,22418-66-2,,100.92,100.9200,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2490-alpha-methylene-citronellal.html
2477,Methyl Salicylate,1 g,119-36-8,,35.00,35.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ice-cold-เย็น/2477-methyl-salicylate.html
2434,"Decanoic Acid, C10, Capric Acid, (FEMA",1 g,334-48-5,,49.45,49.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/fatty-acids-fatty-alcohols/2434-decanoic-acid-c10-capric-acid-fema-2364.html
253576,Carveol (FEMA,1 g,99-48-9,,486.71,486.7100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/253576-carveol-fema-2247.html
32356,Benzyl Butyrate (FEMA,1 g,103-37-7,,129.25,129.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/32356-benzyl-butyrate-fema-2140-.html
5814,Honeysuckle Oil,1 g,,,269.40,269.4000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/phenolic-ยา/5814-honeysuckle-oil-lonicera-caprifolium-oil.html
3765,3‑Octanol,1 g,589-98-0,,47.60,47.6000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/3765-3-octanol-fema-3581.html
3551,Pine Hexanol (Verdol),1 g,13491-79-7,,56.58,56.5800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/3551-pine-hexanol-verdol.html
2887,2‑Acetylpyrrole,1 g,1072-83-9,,407.06,407.0600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2887-2-acetyl-pyrrole.html
